Age Gender Proffession Genre Like/Dislike Jr TypeJr Season Time
Adulte M writer Comedy Yes jeudi Normal Hiver ApréMidi
Homme F executive Crime Yes samedi Vacance Printemp Soir
JeuneHomme M writer Children's No vendredi Vacance Automne Matin
JeuneHomme M technician Drama No jeudi Vacance Automne Matin
Adulte M educator Crime No lundi Normal Hiver Matin
Adulte M executive Sci-Fi Yes mercredi Normal Hiver ApréMidi
Homme M engineer Action No mercredi Normal Hiver ApréMidi
JeuneHomme F librarian Adventure Yes vendredi Vacance Printemp ApréMidi
JeuneHomme M programmer Comedy Yes dimanche Normal Hiver Matin
Adulte M executive Drama Yes mercredi Normal Hiver Soir
JeuneHomme F administrator Action No mercredi Normal Automne Soir
JeuneHomme M student Comedy Yes lundi Vacance Automne ApréMidi
Homme M programmer Action Yes dimanche Normal Automne Matin
Homme M engineer Comedy Yes vendredi Vacance Printemp Soir
Homme F educator Action Yes dimanche Normal Hiver Nuit
JeuneHomme M student Comedy Yes vendredi Vacance Automne Matin
Homme F writer Drama Yes mardi Normal Automne ApréMidi
Homme M administrator Comedy No vendredi Vacance Automne Soir
JeuneHomme M student Mystery Yes dimanche Normal Automne Matin
Adulte M retired Documentary No jeudi Normal Printemp Nuit
Homme M programmer Drama Yes vendredi Vacance Hiver ApréMidi
Homme M other Comedy Yes jeudi Normal Printemp ApréMidi
JeuneHomme M doctor Action Yes dimanche Normal Automne ApréMidi
JeuneHomme M student Action No dimanche Normal Automne Matin
Adulte M retired Animation Yes mardi Normal Hiver ApréMidi
Homme M administrator Action No lundi Normal Automne Soir
JeuneHomme F other Animation Yes lundi Normal Printemp Nuit
Homme M programmer Adventure No vendredi Vacance Hiver ApréMidi
Homme M marketing Drama Yes jeudi Normal Automne Nuit
JeuneHomme M programmer Action Yes mardi Normal Automne Soir
JeuneHomme M writer Drama Yes vendredi Vacance Automne Nuit
JeuneHomme M student Drama Yes dimanche Normal Hiver Matin
Adulte F administrator Drama Yes vendredi Vacance Automne Soir
Homme M engineer Comedy Yes vendredi Vacance Automne ApréMidi
Adulte M artist Comedy Yes jeudi Normal Hiver Matin
Adulte M engineer Comedy Yes samedi Vacance Hiver Soir
JeuneHomme M executive Crime No samedi Vacance Automne Soir
Homme F librarian Mystery Yes lundi Vacance Printemp Soir
JeuneHomme M student Comedy No samedi Vacance Automne Soir
Adulte M administrator Documentary Yes mardi Normal Printemp ApréMidi
Adulte M lawyer Comedy Yes dimanche Normal Automne ApréMidi
