IdUser GenreFilm Like/Dislike Day KindOfDay Season Time 
1 Animation|Children's|Comedy| 5 lundi Normal Automne Soir
1 Action|Adventure|Thriller| 3 mercredi Normal Automne Matin
1 Thriller| 4 lundi Normal Automne Matin
1 Action|Comedy|Drama| 3 mercredi Normal Automne Matin
1 Crime|Drama|Thriller| 3 vendredi Vacance Printemp Nuit
1 Drama| 5 samedi Vacance Hiver Soir
1 Drama|Sci-Fi| 4 mercredi Normal Automne Nuit
1 Children's|Comedy|Drama| 1 mercredi Normal Automne Nuit
1 Drama| 5 lundi Normal Automne Matin
1 Drama|War| 3 mercredi Normal Automne Matin
1 Crime|Thriller| 2 mercredi Normal Automne Nuit
1 Crime|Thriller| 5 lundi Normal Automne Matin
1 Comedy| 5 mercredi Normal Automne Nuit
1 Drama|Romance| 5 lundi Normal Automne Soir
1 Drama| 5 mercredi Normal Automne Nuit
1 Comedy|Romance| 5 lundi Normal Automne Matin
1 Action|Comedy|Crime|Horror|Thriller| 3 mercredi Normal Automne Nuit
1 Drama| 4 samedi Vacance Hiver Soir
1 Drama| 5 mercredi Normal Automne Nuit
1 Action|Adventure|Comedy|Musical|Thriller| 1 lundi Normal Automne Matin
1 Action|Drama|War| 4 mercredi Normal Automne Nuit
1 Drama|Thriller| 4 mercredi Normal Automne Nuit
1 Action|Adventure|Crime| 3 mercredi Normal Automne Nuit
1 Comedy| 4 mercredi Normal Automne Nuit
1 Comedy| 3 mercredi Normal Automne Nuit
1 Action| 2 mercredi Normal Automne Matin
1 Action|Drama|Thriller| 4 mercredi Normal Automne Nuit
1 Action|Adventure|Comedy|Crime| 1 lundi Normal Automne Matin
1 Drama| 3 lundi Normal Automne Matin
1 Drama|Thriller|War| 3 mercredi Normal Automne Nuit
1 Documentary| 5 dimanche Normal Printemp Matin
1 Comedy|Drama| 2 lundi Normal Automne Matin
1 Adventure|Children's|Drama| 1 lundi Normal Automne Matin
1 Drama|Romance| 2 mercredi Normal Automne Nuit
1 Drama| 2 lundi Normal Automne Matin
1 Sci-Fi|Thriller| 3 lundi Normal Automne Matin
1 Action|Crime|Sci-Fi| 4 mercredi Normal Automne Nuit
1 Comedy| 3 mercredi Normal Automne Matin
